"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,"Miami, Florida, United States","394290155049",,"12500","US $12,500.00","fastfreightfreddy",,"","2020 Panini Mosaic #RA4 Justin Herbert Auto RC Rookie Gem Mint PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/394290155049",,,"Ships from United States",,
,,,,,"Saint Petersburg, Florida, United States","383478994784",,"12500","US $12,500.00","dealer-dude",,"","ZION WILLIAMSON RC RED BLACK SNAKESKIN AUTO SSP PSA 10 GEM 2019-20 PRIZM DRAFT","Sports Trading Card",,"https://www.ebay.com/itm/383478994784",,,"Returns accepted","Ships from United States","6 watchers"
,,,,,"Denver, Colorado, United States","204139505599",,"12500","US $12,500.00","petrocat",,"","Bryce Harper 2011 Bowman Chrome Blue Refractor Rookie Auto /150 Gem + BGS 9.5 10","Sports Trading Card",,"https://www.ebay.com/itm/204139505599",,,"Ships from United States","8 watchers",
,,,,,"Port Washington, New York, United States","284170372224",,"12500","US $12,500.00","brockbm",,"","2011 Topps Update MIKE TROUT RC #US175 PSA 10",,,"https://www.ebay.com/itm/284170372224",,,"Ships from United States","8 watchers",
,,,,,"Buffalo Grove, Illinois, United States","284611037089",,"12499.99","US $12,499.99","e3sports",,"","1986 Topps Stickers Football Set #1 Registry Set - ALL Graded - 135/173 PSA 10s","Sports Trading Card",,"https://www.ebay.com/itm/284611037089",,,"Ships from United States",,
,,,,,"Nepean, Ontario, Canada","185595993693",,"12500","US $12,500.00","qcards",,"","T206 Christy Mathewson Dark Cap Cycle 350 PSA 5.5",,,"https://www.ebay.com/itm/185595993693",,,"12 watchers",,
,,,,,"Massapequa Park, New York, United States","184791767064",,"12495","US $12,495.00","hotlips1983-0786",,"","2000 Fleer Skybox Tom Brady Impact #27 Rookie PSA 9 AUTO 10 RC POP 10 🔥","Sports Trading Card",,"https://www.ebay.com/itm/184791767064",,,"Ships from United States","12 watchers",
,,,,,"Greenwich, Connecticut, United States","185564949152",,"12499","US $12,499.00","we.sportscards",,"","2007-08 UD Black Gold /15 Dual Auto Michael Jordan Dennis Rodman BGS 8 /10","Sports Trading Card",,"https://www.ebay.com/itm/185564949152",,,"30 watchers",,
,,,,,"Duluth, Minnesota, United States","185533140194",,"12500","US $12,500.00","dr_freakberg",,"","2022 Panini National Treasures Soccer David Beckham 1/1 Psa 9 Auto 10 Autograph","Sports Trading Card",,"https://www.ebay.com/itm/185533140194",,,"Ships from United States","36 watchers",
,,,,,"Henderson, Nevada, United States","284195609888",,"12499.99","US $12,499.99","welikecards",,"","Jasson Dominguez Gold Foil /50 PSA 10 2020 Bowman 1st Edition BFE-8","Sports Trading Card",,"https://www.ebay.com/itm/284195609888",,,"Ships from United States","20 watchers",
,,,,,"Independence, Ohio, United States","334495230586",,"12499.99","US $12,499.99","aztechengineer",,"","1949 BOWMAN #50 JACKIE ROBINSON ROOKIE - PSA 5 EX (SVSC) FRESHLY GRADED!","Sports Trading Card",,"https://www.ebay.com/itm/334495230586",,,"Ships from United States","14 watchers",
,,,,,"New York, New York, United States","165279201838",,"12500","US $12,500.00","cardboardbrownie",,"","2003 SP Signature Edition LJ LeBron James (PSA 9/10 Auto)","Sports Trading Card",,"https://www.ebay.com/itm/165279201838",,,"Ships from United States","28 watchers",
,,,,,"Colorado Springs, Colorado, United States","374134960407",,"12500","US $12,500.00","djfa23559",,"","2018-19 Panini KABOOM! Stephen Curry Prizm Refractor SSP PSA 10 GEM MINT MVP 🔥","Sports Trading Card",,"https://www.ebay.com/itm/374134960407",,,"Ships from United States","10 watchers",
,,,,,"Colorado Springs, Colorado, United States","374230952479",,"12500","US $12,500.00","djfa23559",,"","2019 Panini Absolute Patrick Mahomes KABOOM! Prizm SSP Case Hit PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/374230952479",,,"Ships from United States",,
,,,,,"Knoxville, Tennessee, United States","304458018132",,"12500","US $12,500.00","collectiblesofthegame-online",,"","Mickey Mantle Ken Griffey Jr. Signed Auto 1994 Upper Deck PSA 7","Sports Trading Card",,"https://www.ebay.com/itm/304458018132",,,"Ships from United States","43 watchers",
,,,,,"Taipei, Taiwan","394284284385",,"12499","US $12,499.00","hardaway-1",,"","2019 Select Kobe Bryant Neon Green Prizm In Flight AUTO Autograph 01/49 BGS 9 10","Sports Trading Card",,"https://www.ebay.com/itm/394284284385",,,"28 watchers",,
,,,,,"Cypress, Texas, United States","294289236442",,"12500","US $12,500.00","russelltyler",,"","1963 Topps #537, Pete Rose Rookie PSA 7.5 NM+ Very Clean","Sports Trading Card",,"https://www.ebay.com/itm/294289236442",,,"Ships from United States","34 watchers",
,,,,,"Norristown, Pennsylvania, United States","144770286227",,"12499.95","US $12,499.95","phllyhighend",,"","BGS 10 *Pristine* JOEL EMBIID Red Pulsar Prizm TRUE RC #7/25 Rookie Refractor","Sports Trading Card",,"https://www.ebay.com/itm/144770286227",,,"Best offer available",,
,,,,,"Staten Island, New York, United States","193431325746",,"12500","US $12,500.00","mattsanta25",,"","2007 Topps Chrome Kevin Durant 131 PSA 9 MINT Rookie Card RC","Sports Trading Card",,"https://www.ebay.com/itm/193431325746",,,"Ships from United States","6 watchers",
,,,,,"Utuado, Puerto Rico, United States","175404389099",,"12500","US $12,500.00","closeoutssports2015",,"","2005-06 Michael Jordan & Lebron James UD SP Game Used /100 PSA RARE.","Sports Trading Card",,"https://www.ebay.com/itm/175404389099",,,"Ships from United States",,
,,,,,"Tampa, Florida, United States","225282741561",,"12500","US $12,500.00","listoparce",,"","2000 Bowman Chrome #236 Tom Brady Patriots RC Rookie PSA 10 GEM MINT Bucs","Sports Trading Card",,"https://www.ebay.com/itm/225282741561",,,"Ships from United States","18 watchers",
,,,,,"Tempe, Arizona, United States","195421871904",,"12499","US $12,499.00","desert-ice-sports",,"","1966 Topps HANK AARON #500 PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/195421871904",,,"Returns accepted","Ships from United States",
,,,,,"San Ramon, California, United States","184848338838",,"12500","US $12,500.00","tuffkyong11",,"","1989-90 Michael Jordan NC Collegiate Collections - (12) PSA 10 + (3) Free","Sports Trading Card",,"https://www.ebay.com/itm/184848338838",,,"Ships from United States",,
,,,,,"Hancock, Maine, United States","275163732889",,"12500","US $12,500.00","danabeal",,"","2004 Leaf Limited Platinum Spotlight #93 Tom Brady SN# 1/1 Here it is! BGS 9 Too","Sports Trading Card",,"https://www.ebay.com/itm/275163732889",,,"Ships from United States","6 watchers",
,,,,,"Blue Springs, Missouri, United States","265793984327",,"12500","US $12,500.00","mssharikaye",,"","KYLE TRASK NATIONAL TREASURES STARS STRIPES ROOKIE PATCH AUTO /10","Sports Trading Card",,"https://www.ebay.com/itm/265793984327",,,"7 watchers",,
,,,,,"Blue Springs, Missouri, United States","265905726118",,"12500","US $12,500.00","mssharikaye",,"","2017 DONOVAN MITCHELL 1/1 FLAWLESS ROOKIE  RPA SWATCH SIGNATURE 1/5",,,"https://www.ebay.com/itm/265905726118",,,"Ships from United States","9 watchers",
,,,,,"Encino, California, United States","403916736434",,"12500","US $12,500.00","edmkhar_0",,"","1996-97 E-X2000 Credentials #53 Allen Iverson 76ers RC Rookie /499 BGS 8.5","Sports Trading Card",,"https://www.ebay.com/itm/403916736434",,,"Ships from United States","5 watchers",
,,,,,"Lake Huntington, New York, United States","144258656965",,"12500","US $12,500.00","tdfitz09",,"","1993 UPPER DECK SP DEREK JETER #279 (10 9.5 9 9)","Sports Trading Card",,"https://www.ebay.com/itm/144258656965",,,"Ships from United States",,
,,,,,"Phoenix, Maryland, United States","225277331895",,"12500","US $12,500.00","cards24-7-365",,"","POP 1 1999 STADIUM CLUB CO-SIGNERS ALEX RODRIGUEZ & DEREK JETER AUTO PSA 9 MINT","Sports Trading Card",,"https://www.ebay.com/itm/225277331895",,,"Ships from United States",,
,,,,,"Port Jefferson, New York, United States","266020849528",,"12500","US $12,500.00","strongislandcardcollector",,"","Justin Herbert 2020 Spectra Rookie 4 Color Patch Auto #6/10 PSA 10 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/266020849528",,,"Ships from United States",,
,,,,,"East Norwich, New York, United States","155102294417",,"12500","US $12,500.00","pc_sportscards",,"","Cristian Hernandez 2021 Bowman Chrome Orange Refractor RC AUTO 1/25 BGS 9.5/10","Sports Trading Card",,"https://www.ebay.com/itm/155102294417",,,"Ships from United States","9 watchers",
,,,,,"Oxnard, California, United States","304687449010",,"12500","US $12,500.00","rfamilyco",,"","2013 Topps Heritage High Number Red Autograph RC Manny Machado #01/10 (PSA 9/9)","Sports Trading Card","Does not apply","https://www.ebay.com/itm/304687449010",,,"Ships from United States",,
,,,,,"Winchester, Tennessee, United States","255458592119",,"12500","US $12,500.00","931sportscards",,"","2020-21 Panini Gold Mosaic Prizm LaMelo Ball  02/10 Jersey Number!! PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/255458592119",,,"Ships from United States","6 watchers",
,,,,,"Blue Springs, Missouri, United States","265919623482",,"12500","US $12,500.00","mssharikaye",,"","2019 CONTENDERS JA MORANT PREMIUM ROOKIE TICKET  PRIZM  VARIATION AUTO PSA10","Sports Trading Card",,"https://www.ebay.com/itm/265919623482",,,"Ships from United States",,
,,,,,"Honolulu, Hawaii, United States","165471938641",,"9475","US $9,475.00","sykoxhara",,"","2019-20 SELECT JA MORANT BLUE DISCO COURTSIDE PRIZM ROOKIE Card /25 #208 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/165471938641",,,"Ships from United States","12 watchers",
,,,,,"New Port Richey, Florida, United States","265254521879",,"12500","US $12,500.00","chasman1963",,"","1996 Topps Chrome Kobe Bryant ROOKIE RC #138 PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/265254521879",,,"Ships from United States","30 watchers",
,,,,,"Budd Lake, New Jersey, United States","285027862856",,"12500","US $12,500.00","hidden_gem_sports_collectibles",,"","2017 Classics Patrick Mahomes Gold Autograph Rookie #19/25 BGS 9.5. RARE!!","Sports Trading Card",,"https://www.ebay.com/itm/285027862856",,,"Ships from United States",,
,,,,,"Tehachapi, California, United States","266033901566",,"12500","US $12,500.00","kingmeisterjosef",,"","🔥🔥 1986 Fleer #57 Michael Jordan ROOKIE PSA MINT 9 (OC) GOAT 🔥🔥","Sports Trading Card",,"https://www.ebay.com/itm/266033901566",,,"Ships from United States",,
,,,,,"East Norwich, New York, United States","155285958658",,"12499.99","US $12,499.99","pc_sportscards",,"","Trae Young 2018-19 Contenders Cracked Ice Rookie RC TICKET AUTO 05/25 BGS 9.5/10","Sports Trading Card",,"https://www.ebay.com/itm/155285958658",,,"Ships from United States",,
,,,,,"Westfield, Indiana, United States","125659417313",,"12475","US $12,475.00","nikola_cards_04",,"","2019 Topps Chrome UEFA Chamipions League Erling Haaland AUTO RC Rookie PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/125659417313",,,"Ships from United States",,
,,,,,"Portsmouth, New Hampshire, United States","185564629064",,"12499.99","US $12,499.99","mc_sportscards",,"","CONNOR MCDAVID PSA 10 2015 UPPER DECK UD #201 YOUNG GUNS FOIL ROOKIE RC POP 28",,,"https://www.ebay.com/itm/185564629064",,,,,
,,,,,"Passaic, New Jersey, United States","363793268906",,"12500","US $12,500.00","",,""" GREAT INVESTMENT ""","1964 Venezuela Topps #120 Don Drysdale Dodgers HOF PSA 8.5 POP 1 NONE HIGHER",,,"https://www.ebay.com/itm/363793268906",,,"Ships from United States","10 watchers",
,,,,,"Los Angeles, California, United States","374289652531",,"12499.88","US $12,499.88","ox-1985",,"","PSA 9 2019 Topps Chrome UEFA Chamipions League CAEH Erling Haaland AUTO RC Mint","Sports Trading Card",,"https://www.ebay.com/itm/374289652531",,,"Ships from United States","28 watchers",
,,,,,"West Palm Beach, Florida, United States","154088245399",,"12499","US $12,499.00","yamuial",,"","2 x 2019-20 PANINI INSTANT ZION WILLIAMSON PELICANS LOGO PATCH BGS 8.5 #1/2&2/2","Sports Trading Card","Does not apply","https://www.ebay.com/itm/154088245399",,,"Ships from United States","16 watchers",
,,,,,"New York, New York, United States","165257902067",,"12500","US $12,500.00","cardboardbrownie",,"","2004 Topps Chrome 23 LeBron James Gold Refractor (/99)","Sports Trading Card",,"https://www.ebay.com/itm/165257902067",,,"Ships from United States","23 watchers",
,,,,,"Warminster, Pennsylvania, United States","165624664126",,"12500","US $12,500.00","pristinemjsports",,"","1954 Topps #10 JACKIE ROBINSON Brooklyn Dodgers PSA 8 NM-MT (PWCC TOP 30%) PMJS","Sports Trading Card",,"https://www.ebay.com/itm/165624664126",,,"Ships from United States","14 watchers",
,,,,,"Warminster, Pennsylvania, United States","165675786959",,"12500","US $12,500.00","pristinemjsports",,"","LEBRON JAMES 2003-04 UPPER DECK EXQUISITE ROOKIE Game Used JERSEY /25 PSA PMJS","Sports Trading Card",,"https://www.ebay.com/itm/165675786959",,,"Ships from United States","10 watchers",
,,,,,"Warminster, Pennsylvania, United States","165676239493",,"12500","US $12,500.00","pristinemjsports",,"","2011 Bowman Chrome Draft Mike Trout Refractor Rookie BGS 10 Black Label PMJS","Sports Trading Card",,"https://www.ebay.com/itm/165676239493",,,"Ships from United States","11 watchers",
,,,,,"Apopka, Florida, United States","225210298818",,"12500","US $12,500.00","ig_zopeadopecardz",,"","2018 Bowman Chrome Green Refractor Shohei Ohtani RC /99 BGS 9.5 w/ 10 AUTO","Sports Trading Card",,"https://www.ebay.com/itm/225210298818",,,"Ships from United States","24 watchers",
,,,,,"East Irvine, California, United States","165758143251",,"12500","US $12,500.00","hb_collections",,"","2020 revolution anthony edwards rc lava /10 PSA 10 Pop 3","Sports Trading Card",,"https://www.ebay.com/itm/165758143251",,,"Ships from United States",,
,,,,,"Warminster, Pennsylvania, United States","165675844627",,"12500","US $12,500.00","pristinemjsports",,"","Lebron James 2007 ULITIMATE COLLECTION LEADERSHIP JERSEY AUTO /25 BGS 8.5 PMJS","Sports Trading Card",,"https://www.ebay.com/itm/165675844627",,,"Ships from United States",,
,,,,,"Warminster, Pennsylvania, United States","165633809784",,"12500","US $12,500.00","pristinemjsports",,"","2018-19 Flawless Horizontal /25 Giannis Antetokounmpo Patch Auto PSA 10 PMJS","Sports Trading Card",,"https://www.ebay.com/itm/165633809784",,,"Ships from United States","22 watchers",
,,,,,"Warminster, Pennsylvania, United States","165644376451",,"12500","US $12,500.00","pristinemjsports",,"","2002-03 UD ULTIMATE MICHAEL JORDAN SIGNATURES ON CARD AUTO PSA 10/10 AUTO PMJS","Sports Trading Card",,"https://www.ebay.com/itm/165644376451",,,"Ships from United States","11 watchers",
,,,,,"Warminster, Pennsylvania, United States","165710348209",,"12500","US $12,500.00","pristinemjsports",,"","1996 Bowman's Best KOBE BRYANT DIE CUT REFRACTOR RC #BP10 PSA 10 POP 13 PMJS",,"Does not apply","https://www.ebay.com/itm/165710348209",,,"Ships from United States","16 watchers",
,,,,,"Warminster, Pennsylvania, United States","165785795278",,"12500","US $12,500.00","pristinemjsports",,"","2012 Prizm Drew Brees #118 Gold Prizm /10 PSA 10 POP 2 PMJS","Sports Trading Card",,"https://www.ebay.com/itm/165785795278",,,"Ships from United States","12 watchers",
,,,,,"Wantirna South, VIC, Australia","144261578096",,"12499","US $12,499.00","afl_footycards",,"","2009-10 Playoff Contenders STEPHEN CURRY Rookie Card AUTO BGS 9 Auto 9 RC Panini","Sports Trading Card",,"https://www.ebay.com/itm/144261578096",,,"46 watchers",,
,,,,,"Notre-Dame-des-Prairies, Quebec, Canada","324324160859",,"12500","US $12,500.00","mycollectionsplus",,"","2005/06 UD ULTIMATE DEBUT THREADS SIDNEY CROSBY ROOKIE 13/25 BGS 9.5 AUTO BGS 10","Sports Trading Card",,"https://www.ebay.com/itm/324324160859",,,"11 watchers",,
,,,,,"Fort Walton Beach, Florida, United States","144792384322",,"12500","US $12,500.00","dobermanboy30",,"","1997-98 Topps Finest Gold Refractor RC Kobe Bryant /289 BGS 9.5 W/Coating Peel !","Sports Trading Card",,"https://www.ebay.com/itm/144792384322",,,"Ships from United States",,
,,,,,"Denver, Colorado, United States","203748465455",,"12500","US $12,500.00","petrocat",,"","2009 10 Stephen Steph Curry Rookie Autograph Auto Season Update BGS 9.5 PCSC /49","Sports Trading Card","Does not apply","https://www.ebay.com/itm/203748465455",,,"17 watchers",,
,,,,,"Colorado Springs, Colorado, United States","325370526654",,"12500","US $12,500.00","kemdacards",,"Pop 1 - Only 1 Higher! Ewing Keefe Ward Connor HOF","Rare! 1888 Joseph Hall New York Ball Club Giants Imperial Cabinets PSA Authentic","Sports Trading Card",,"https://www.ebay.com/itm/325370526654",,,"No returns",,
,,,,,"Taipei, Taiwan","304469125584",,"12500","US $12,500.00","syia708",,"","2019-20 Panini Select Silver Prizm In Flight Kobe Bryant 53/99 BGS 9.5/10 AUTO","Sports Trading Card","Does not apply","https://www.ebay.com/itm/304469125584",,,"59 watchers",,
,,,,,"Ontario, California, United States","193913993913",,"12500","US $12,500.00","sports*card*slavik",,"","2015 UPPER DECK ICE PREMIERES RETRO CONNOR MCDAVID RC /149 BGS 9.5 HIGH SUBS",,,"https://www.ebay.com/itm/193913993913",,,"Ships from United States","14 watchers",
,,,,,"Warminster, Pennsylvania, United States","165623123283",,"12500","US $12,500.00","pristinemjsports",,"","2012 Topps Chrome Bryce Harper Rookie Auto Atomic Refractor /10 BGS 10/10 PMJS","Sports Trading Card",,"https://www.ebay.com/itm/165623123283",,,"Ships from United States","32 watchers",
,,,,,"Whittier, California, United States","254837352116",,"12499.99","US $12,499.99","mmacardboard",,"","2010 Topps UFC Series 4 TFTB Dual Auto DANA WHITE / JON JONES 05/25 PSA 10 POP 2","Sports Trading Card",,"https://www.ebay.com/itm/254837352116",,,"Ships from United States","27 watchers",
,,,,,"Warminster, Pennsylvania, United States","165785747354",,"12500","US $12,500.00","pristinemjsports",,"","2014 National Treasures Tom Brady # /25 Notable Nicknames Auto BGS 8.5 PMJS","Sports Trading Card",,"https://www.ebay.com/itm/165785747354",,,"Ships from United States","8 watchers",
,,,,,"Germantown, Maryland, United States","404011967088",,"12500","US $12,500.00","briguysports",,"","Aaron Rodgers Signed 2005 Topps Chrome Black Refractor RC Rookie POP 1/1 PSA 7","Sports Trading Card",,"https://www.ebay.com/itm/404011967088",,,"Ships from United States","10 watchers",
,,,,,"Bellevue, Washington, United States","165733641067",,"12500","US $12,500.00","anythingactive",,"","2013 Panini Cornerstones TOM BRADY #5 GOLD PRIZM #22/25 PSA 10 GEM POP 2","Sports Trading Card",,"https://www.ebay.com/itm/165733641067",,,"Ships from United States",,
,,,,,"Commerce Township, Michigan, United States","125147939890",,"12500","US $12,500.00","sqwacks",,"","2009 Matthew Stafford Rookie National Treasures Gold RPA AutographBGS 8.5 13/25","Sports Trading Card",,"https://www.ebay.com/itm/125147939890",,,"Ships from United States","10 watchers",
,,,,,"Salt Lake City, Utah, United States","255829453031",,"12500","US $12,500.00","cacsalesllc",,"","1911 Rochester Baking D359 Topsy Hartsel Graded SGC 2.5 35 T6935","Sports Trading Card",,"https://www.ebay.com/itm/255829453031",,,"Ships from United States",,
,,,,,"Miami, Florida, United States","255723606981",,"12500","US $12,500.00","ab_sportscards_collectibles",,"","2021 Donruss Optic Downtown! Gold SSP /10 #34 Zach Wilson BGS 9 R6220J","Sports Trading Card",,"https://www.ebay.com/itm/255723606981",,,"Ships from United States",,
,,,,,"Miami, Florida, United States","175451412090",,"12500","US $12,500.00","ab_sportscards_collectibles",,"","2020 Flawless Rookie Dual Patch Auto Bronze FOTL #3/6 Jordan Love RPA PSA 10 R62","Sports Trading Card",,"https://www.ebay.com/itm/175451412090",,,"Ships from United States","9 watchers",
,,,,,"Scottsdale, Arizona, United States","175263062348",,"12500","US $12,500.00","zx4237",,"","2018-19 Panini Contenders Optic Trae Young Orange Auto RC #'d /25 BGS 9.5!","Sports Trading Card",,"https://www.ebay.com/itm/175263062348",,,"Ships from United States",,
,,,,,"Phoenix, Arizona, United States","165134563073",,"12500","US $12,500.00","sattyfamilycards",,"","Topps Chasing History Mike Trout GAME USED PATCH AUTO /25 | 5 Graded None Higher","Sports Trading Card",,"https://www.ebay.com/itm/165134563073",,,"Ships from United States",,
,,,,,"Cortlandt Manor, New York, United States","294500993927",,"12500","US $12,500.00","sportscardconnoisseur.ig",,"","2018 PANINI NATIONAL TREASURES MILES BRIDGES GOLD #'d/10 ROOKIE RC PSA 9  -Pop1-","Sports Trading Card",,"https://www.ebay.com/itm/294500993927",,,"Ships from United States","5 watchers",
,,,,,"Somersworth, New Hampshire, United States","233932585929",,"12499.95","US $12,499.95","guilmette4",,"","Yordan Alvarez 2018 Bowman Chrome Green Refract RC Auto /99 BGS 10 Pristine Pop1","Sports Trading Card",,"https://www.ebay.com/itm/233932585929",,,"Ships from United States","18 watchers",
,,,,,"Miami, Florida, United States","175514900266",,"12500","US $12,500.00","ab_sportscards_collectibles",,"","2021 National Treasures Javonte Williams RPA Stars Stripes SHIELD 1/1 PSA 8/10 D","Sports Trading Card",,"https://www.ebay.com/itm/175514900266",,,"Ships from United States","8 watchers",
,,,,,"Charlotte, North Carolina, United States","304376277498",,"12500","US $12,500.00","yorkersports",,"","2018-19 Anfernee Simons TRUE 1/1 Vinyl Rookie RC Optic Dominator BGS 9/10 STUD","Sports Trading Card",,"https://www.ebay.com/itm/304376277498",,,"Ships from United States",,
,,,,,"Corona, California, United States","363610860174",,"12500","US $12,500.00","davidssportscards",,"","Lebron James 2003-04 SPX RC Rookie Jersey /750 Autograph BGS 9 10 Centering Auto",,"Does not apply","https://www.ebay.com/itm/363610860174",,,"Ships from United States","29 watchers",
,,,,,"Fort Lauderdale, Florida, United States","313851121768",,"12500","US $12,500.00","trustedtraditions.com",,"","TT 1998 PSA TOPPS CHROME RANDY MOSS REFRACTOR #35 DRAFT'S BEST ATHLETE GEM MT 10","Sports Trading Card",,"https://www.ebay.com/itm/313851121768",,,"Returns accepted","Ships from United States",
,,,,,"Hudson, Massachusetts, United States","285066636897",,"12500","US $12,500.00","minininja2016",,"","2019 NATIONAL TREASURE NASSIR LITTLE #127 HORZ SP /49 PSA 10 AUTO 10 POP 1/1💎","Sports Trading Card",,"https://www.ebay.com/itm/285066636897",,,,,
,,,,,"Phoenix, Arizona, United States","165093887844",,"12500","US $12,500.00","sattyfamilycards",,"","2020 Bowman Chrome Anthony Volpe 1st Bowman Gold Shimmer Auto /50 BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/165093887844",,,"Ships from United States","44 watchers",
,,,,,"Atlanta, Georgia, United States","255562024845",,"12500","US $12,500.00","davidscollections",,"","2018 Josh Allen Select 15/15 Jumbo Tie-Dye Prizm RPA PSA 9 MINT","Sports Trading Card",,"https://www.ebay.com/itm/255562024845",,,"Ships from United States","9 watchers",
,,,,,"Corona, California, United States","144700315530",,"12500","US $12,500.00","davidssportscards",,"","Joe Burrow 2020 National Treasures Crossover RC Patch Gold /25 BGS 9.5 10 Auto !",,,"https://www.ebay.com/itm/144700315530",,,"Ships from United States","5 watchers",
,,,,,"Mount Laurel, New Jersey, United States","255726729103",,"12500","US $12,500.00","ig-nyyfan63",,"","MIKE TROUT 2009 BOWMAN CHROME RC ROOKIE AUTO BGS 9.5/10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/255726729103",,,"Returns accepted","Ships from United States","11 watchers"
,,,,,"Corona, California, United States","363830878184",,"12500","US $12,500.00","davidssportscards",,"","Aaron Rodgers 2005 Exquisite Collection RC Patch Autograph # 106 Auto BGS 9",,,"https://www.ebay.com/itm/363830878184",,,"Ships from United States","10 watchers",
,,,,,"Miami, Florida, United States","255800709060",,"12500","US $12,500.00","ab_sportscards_collectibles",,"","2019-20 Noir Dish Night Memorabilia Tags XL PATCH 1/1 LeBron James PSA Auth R622","Sports Trading Card",,"https://www.ebay.com/itm/255800709060",,,"Ships from United States",,
,,,,,"Phoenix, Maryland, United States","185685667747",,"12500","US $12,500.00","late90sbuyselltrade_ig",,"","1997 FLEER SKYBOX PREMIUM STAR RUBIES SHAWN KEMP #50 PSA AUTHENTIC","Sports Trading Card",,"https://www.ebay.com/itm/185685667747",,,"Ships from United States","11 watchers",
,,,,,"Boulder Creek, California, United States","374242659975",,"12500","US $12,500.00","alphaprosports",,"","Anthony Volpe 2020 Bowman Chrome Mega Box Photo Variation Auto /25 - PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/374242659975",,,"Ships from United States","5 watchers",
